trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
146,False,"{'a': 0.15, 'e': 0.20748223648667338}",25,11,-26.365621581902978,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.15, 'e': 0.20540741412180666}",30,14,-46.25274204734137,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
148,False,"{'a': 0.15, 'e': 0.20335333998058858}",30,2,2.752891979331787,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 0}",1
149,False,"{'a': 0.15, 'e': 0.2013198065807827}",25,0,24.363666038524148,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
150,False,"{'a': 0.15, 'e': 0.19930660851497486}",20,16,6.796830427504937,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.15, 'e': 0.1973135424298251}",20,4,26.783886469024292,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.15, 'e': 0.19534040700552685}",25,15,18.416230262259308,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.15, 'e': 0.1933870029354716}",25,16,2.346144226407519,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.15, 'e': 0.19145313290611687}",20,2,-40.78625978196893,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
155,False,"{'a': 0.15, 'e': 0.1895386015770557}",20,5,3.986390503685344,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.15, 'e': 0.18764321556128516}",20,0,19.741705856361833,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
157,False,"{'a': 0.15, 'e': 0.18576678340567232}",25,20,11.98118254697862,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.15, 'e': 0.1839091155716156}",25,12,-32.71162386463965,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.15, 'e': 0.18207002441589945}",20,12,13.520933985397708,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.15, 'e': 0.18024932417174044}",25,11,-1.5522859742278958,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
161,False,"{'a': 0.15, 'e': 0.17844683093002303}",20,0,-37.62429705364347,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
162,False,"{'a': 0.15, 'e': 0.1766623626207228}",25,15,18.233284846365212,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.15, 'e': 0.17489573899451558}",25,14,22.42633385285295,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.15, 'e': 0.17314678160457042}",30,19,21.204455058070586,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.15, 'e': 0.1714153137885247}",30,21,3.9169011279541732,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.15, 'e': 0.16970116065063945}",20,8,20.69386346077296,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.15, 'e': 0.16800414904413305}",25,6,28.287609081337312,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.15, 'e': 0.16632410755369173}",20,12,14.68764791036221,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.15, 'e': 0.1646608664781548}",20,9,14.18052451977691,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.15, 'e': 0.16301425781337325}",20,11,15.625498472113616,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.15, 'e': 0.16138411523523952}",25,8,9.199913195977736,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.15, 'e': 0.15977027408288713}",30,1,-28.50809197712682,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 1}",1
173,False,"{'a': 0.15, 'e': 0.15817257134205825}",30,19,24.542051521181353,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.15, 'e': 0.15659084562863768}",20,13,-23.735544025713853,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
